tags,hasConnection,level1_tags,coded_tags,idauthor
"['G', 'E']","['p04132', 'p00905']","['G', 'E']",[0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00128
"['I', 'N', 'J', 'O']","['p01641', 'p00776']","['L', 'O', 'N', 'I', 'J']",[0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0],p00129
"['L', 'D', 'H', 'R', 'C']","['p03157', 'p02173', 'p00127', 'p03948', 'p03926', 'p05289', 'p05508', 'p02509', 'p01993', 'p04079', 'p00103']","['E', 'K', 'L', 'D', 'N', 'H', 'I', 'R', 'M', 'J', 'C', 'G', 'Z']",[1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 1],p00130
['F'],"['p04190', 'p03349']",['F'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],p00131
"['E', 'F', 'D', 'C']","['p04462', 'p02406', 'p00903', 'p01879', 'p01092', 'p00749']","['E', 'L', 'D', 'O', 'F', 'H', 'Q', 'C', 'G']",[1 1 1 1 1 1 0 0 0 1 0 0 1 0 1 0 0],p00132
"['D', 'O', 'H', 'I', 'G']","['p03080', 'p01063', 'p00704', 'p00454', 'p02535']","['L', 'D', 'O', 'H', 'I', 'M', 'J', 'G']",[0 1 0 0 1 1 1 1 0 1 1 0 1 0 0 0 0],p00134
"['E', 'O', 'N', 'H', 'R', 'M', 'J']","['p03899', 'p04390', 'p05527', 'p02660']","['E', 'K', 'L', 'D', 'O', 'F', 'N', 'H', 'I', 'R', 'M', 'J', 'C', 'G']",[1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0],p00135
"['G', 'D']","['p05462', 'p02233']","['G', 'D']",[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00137
['D'],"['p02257', 'p00180', 'p05533', 'p00626']","['K', 'D', 'I', 'J', 'C']",[1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0],p00138
"['G', 'J', 'D', 'C']","['p03719', 'p00062']","['G', 'D', 'J', 'C']",[1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0],p00141
"['C', 'H', 'D', 'I']","['p01078', 'p04033', 'p03779', 'p01342']","['E', 'L', 'D', 'O', 'H', 'I', 'Q', 'C']",[1 1 1 0 0 1 1 0 0 1 0 0 1 0 1 0 0],p00143
['D'],"['p00123', 'p01331']","['L', 'D', 'C']",[1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],p00144
['I'],[],['I'],[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],p00145
"['E', 'J', 'O']","['p01208', 'p03919']","['E', 'D', 'O', 'R', 'J']",[0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0],p00146
"['H', 'D']","['p00648', 'p02305', 'p01573', 'p00516']","['H', 'D']",[0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],p00148
"['D', 'J']",['p01498'],"['K', 'L', 'D', 'M', 'J']",[0 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0],p00152
